AL00;EL00;750
AL00;ME00;850
AL00;MK00;500
AL00;RS00;1011
AT00;CH00;1200
AT00;CZ00;900
AT00;DE00;7400
AT00;HU00;1800
AT00;ITN1;680
AT00;SI00;1950
BA00;HR00;1250
BA00;ME00;1050
BA00;RS00;852
BE00;DE00;1000
BE00;FR00;3800
BE00;LUB1;380
BE00;LUG1;300
BE00;NL00;4400
BE00;UK00;2500
BG00;EL00;2350
BG00;MK00;558
BG00;RO00;2200
BG00;RS00;900
BG00;TR00;1900
CH00;DE00;6600
CH00;FR00;2300
CH00;ITN1;5750
CZ00;DE00;4100
CZ00;PLI0;600
CZ00;SK00;1800
DE00;DEKF;400
DE00;DKE1;1600
DE00;DKW1;3500
DE00;FR00;6000
DE00;LUG1;1000
DE00;LUV1;1300
DE00;NL00;6000
DE00;NOS0;1400
DE00;PLI0;2000
DE00;SE04;615
DE00;UK00;1400
DEKF;DKKF;400
DKE1;DKKF;400
DKE1;DKW1;600
DKE1;SE04;2700
DKW1;NL00;700
DKW1;NOS0;2640
DKW1;SE03;798
DKW1;UK00;1400
EE00;FI00;1394
EE00;LV00;1494
ES00;FR00;8000
ES00;PT00;5700
FI00;SE01;3000
FI00;SE03;1200
FR00;ITN1;5100
FR00;LUF1;380
FR00;UK00;7000
FR15;ITCO;20
EL00;EL03;1800
EL00;ITS1;500
EL00;MK00;1600
EL00;TR00;1660
HR00;HU00;1700
HR00;RS00;1000
HR00;SI00;2500
HU00;RO00;2000
HU00;RS00;1100
HU00;SI00;1200
HU00;SK00;2800
HU00;UA01;450
IE00;UK00;1000
IE00;UKNI;1250
ITCN;ITCO;400
ITCN;ITCS;1569
ITCN;ITN1;2000
ITCO;ITSA;420
ITCS;ITS1;9999
ITCS;ITSA;720
ITCS;ME00;1200
ITN1;SI00;1650
ITS1;ITSI;1100
ITSI;MT00;205
LT00;LV00;1950
LT00;PL00;700
LT00;SE04;700
ME00;RS00;600
MK00;RS00;900
NL00;NOS0;700
NL00;UK00;2500
NOM1;NON1;1300
NOM1;NOS0;1400
NOM1;SE02;696
NON1;SE01;700
NON1;SE02;917
NOS0;SE03;3145
NOS0;UK00;4800
PL00;SE04;1597
PLE0;SK00;990
PLI0;PL00;2000
RO00;RS00;1000
RO00;UA01;150
SE01;SE02;3300
SE02;SE03;9100
SE03;SE04;7200
SK00;UA01;400
UK00;UKNI;950
CY00;EL00;549
DKE1;PL00;1000
FI00;NON1;500
FR00;IE00;1000
PLI0;SK00;997
SK00;PLE0;1500
