	Name	Capacity	Efficiency range in NCV terms  %	CO2 emission factor  kg / Net GJ	Variable O&M cost  €/MWh	Min uptime	Min downtime	Start-up fuel consumption - warm start  Net GJ /MW. start	Start-up fix cost (e.g. wear) warm start  € /MW. start	Start-up fuel consumption - cold start  Net GJ /MW. start	Start-up fix cost (e.g. wear) cold start  € /MW. start	Start-up fuel consumption - hot start  Net GJ /MW. start	Start-up fix cost (e.g. wear) hot start  € /MW. start	 Transition time [h] from hot to warm	  Transition time [h] from hot to cold	Minimum stable generation  (% of max power)		Type	Ramp inflex	Ramp flex
1	Nuclear -	1500	30% - 35%	0	9	12	12	14	21	14	21	14	21	12	72	50%	0.47	NUC	0.25	5
2	Hard coal old 1	750	30% - 37%	94	3.3	8	8	18	70	21	94	10.5	49	12	72	43%	2.8	COAL	0.66	4
3	Hard coal old 2	750	38% - 43%	94	3.3	6	6	18	50	21	81	10.5	42	12	72	43%	2.8	COAL	0.66	4
4	Hard coal New	750	44% - 46%	94	3.3	5	5	18	42	21	57	10.5	31	12	72	43%	2.8	COAL	0.66	4
5	Hard coal CCS	630	30% - 40%	9.4	6.6	7	7	18	50	21	81	10.5	42	12	72	43%	2.8	COAL CCS	0.66	4
6	Lignite old 1	750	30% - 37%	101	3.3	11	11	18	70	21	94	10.5	49	12	72	43%	1.1	LIGNITE	0.66	4
7	Lignite old 2	750	38% - 43%	101	3.3	9	9	18	50	21	81	10.5	42	12	72	43%	1.1	LIGNITE	0.66	4
8	Lignite New	750	44% - 46%	101	3.3	8	8	18	42	21	57	10.5	31	12	72	43%	1.1	LIGNITE	0.66	4
9	Lignite CCS	630	30% - 40%	10.1	6.6	10	10	18	50	21	81	10.5	42	12	72	43%	1.1	LIGNITE CCS	0.66	4
10	Gas conventional old 1	580	25% - 38%	57	1.1	5	5	7.6	68	9.7	70	4.1	33	8	48	35%	9.8	GAS	0.83	10
11	Gas conventional old 2	580	39% - 42%	57	1.1	5	5	7.6	45	9.7	59	4.1	28	8	48	35%	9.8	GAS	0.83	10
12	Gas CCGT old 1	580	33% - 44%	57	1.6	3	3	7.6	73	9.7	79	4.1	44	8	48	35%	9.8	GAS	0.83	10
13	Gas CCGT old 2	580	45% - 52%	57	1.6	3	3	7.6	43	9.7	62	4.1	27	8	48	35%	9.8	GAS	0.83	10
14	Gas CCGT new	580	53% - 60%	57	1.6	2	2	7.6	25	9.7	36	4.1	22	8	48	35%	9.8	GAS	0.83	10
15	Gas CCGT CCS	485	43% - 52%	5.7	3.2	4	4	7.6	43	9.7	62	4.1	27	8	48	35%	9.8	GAS CCS	0.83	10
16	Gas OCGT old	580	35% - 38%	57	1.6	1	1	0.2	52	0.3	52	0.2	31	2	3	30%	9.8	GAS	0.83	25
17	Gas OCGT new	580	39% - 44%	57	1.6	1	1	0.2	20	0.3	24	0.2	17	2	3	30%	9.8	GAS	0.83	25
18	Light oil -	580	32% - 38%	78	1.1	1	1	0.2	36	0.3	38	0.2	24	2	3	35%	24.4	OIL	0.66	4
19	Heavy oil old 1	580	25% - 37%	78	3.3	3	3	7.6	70	9.7	94	4.1	49	8	48	35%	20	OIL	0.66	4
20	Heavy oil old 2	580	38% - 43%	78	3.3	3	3	7.6	50	9.7	81	4.1	42	8	48	35%	20	OIL	0.66	4
21	Oil shale old	580	28% - 33%	100	3.3	11	11	18	60	21	88	10.5	46	12	72	40%	2.3	OIL	0.66	4
22	Oil shale new	580	34% - 39%	100	3.3	8	8	18	42	21	57	10.5	31	12	72	40%	2.3	OIL	0.66	4
23	Hard coal old 2 Bio	750	38% - 43%	0	3.3	6	6	18	50	21	81	10.5	42	12	72	43%	2.8	BIO	0.66	4
24	Oil shale new Bio	580	34% - 39%	0	3.3	8	8	18	42	21	57	10.5	31	12	72	40%	2.3	BIO	0.66	4
25	Hard coal new Bio	750	44% - 46%	0	3.3	5	5	18	42	21	57	10.5	31	12	72	43%	2.8	BIO	0.66	4
26	Lignite old 1 Bio	750	30% - 37%	0	3.3	11	11	18	70	21	94	10.5	49	12	72	43%	1.1	BIO	0.66	4
27	Hard coal old 1 Bio	750	30% - 37%	0	3.3	8	8	18	70	21	94	10.5	49	12	72	43%	2.8	BIO	0.66	4
28	Gas CCGT old 2 Bio	580	45% - 52%	0	1.6	3	3	7.6	43	9.7	62	4.1	27	8	48	35%	9.8	BIO	0.83	10
29	Gas conventional old 2 Bio	580	39% - 42%	0	1.1	5	5	7.6	45	9.7	59	4.1	28	8	48	35%	9.8	BIO	0.83	10
30	Heavy oil old 1 Bio	580	25% - 37%	0	3.3	3	3	7.6	70	9.7	94	4.1	49	8	48	35%	20	BIO	0.66	4
31	Gas CCGT new CCS	485	53% - 60%	5.7	1.6	2	2	7.6	25	9.7	36	4.1	22	8	48	35%	9.8	GAS CCS	0.83	10
32	Lignite old 2 Bio	750	38% - 43%	0	3.3	9	9	18	50	21	81	10.5	42	12	72	43%	1.1	BIO	0.66	4
